"id";"ord";"name"
"10013";"1";"Комфортность климата"
"10000";"2";"Площадь территории по субъектам Российской Федерации; кв. км."
"202";"3";"Плотность населения; чел./км2"
"10002";"4";"Среднедушевые денежные доходы населения; в месяц, руб."
"10001";"5";"Ожидаемая продолжительность жизни при рождении; лет"
"10010";"6";"Торговый баланс (соотношение экспорт - импорт)"
"601";"7";"Численность населения региона; на конец года; тыс. чел."
"602";"8";"Население моложе трудоспособного возраста, %"
"603";"9";"Население в трудоспособном возрасте, %"
"10026";"10";"Численность трудоспособного населения и населения моложе трудоспособного возраста, %"
"301";"11";"Валовой региональный продукт; млн руб."
"302";"12";"Индекс физического объема валового регионального продукта; %"
"303";"13";"Доходы консолидированных бюджетов субъектов РФ, млн. руб."
"305";"14";"Расходы консолидированных бюджетов субъектов РФ; млн. руб."
"10022";"15";"Реальные доходы населения"
"10025";"16";"Индексы потребительских цен"
"10028";"17";"Темп роста индексы потребительских цен"
"10004";"18";"Экспорт - дальнее зарубежье; млн долл. США"
"10005";"19";"Экспорт - страны СНГ; млн долл. США"
"10006";"20";"Импорт - страны СНГ; млн долл. США"
"10007";"21";"Импорт - дальнее зарубежье; млн долл. США"
"10008";"22";"Экспорт - интегральный показатель; млн долл. США"
"10009";"23";"Импорт - интегральный показатель; млн долл. США"
"10064";"24";"Среднегодовой курс доллара США (по данным ЦБ РФ), руб./долл."
"10016";"25";"Плотность железнодорожных путей на конец года, км. путей на 10000 км2 территории"
"10017";"26";"Плотность автомобильных дорог общего пользования с твердым покрытием на конец года; км. путей на 1000 км2 территории"
"10018";"27";"Число активных абонентов фиксированного и мобильного широкополосного доступа к сети интернет на 100 человек населения"
"10019";"28";"Число активных абонентов фиксированного широкополосного доступа к сети Интернет"
"10020";"29";"Число активных абонентов подвижной радиотелефонной связи, использующих широкополосный доступ к сети Интернет"
"10024";"30";"Расходы консолидированных бюджетов субъектов Российской Федерации на социально-культурные мероприятия, млн руб."
"10029";"31";"Расходы консолидированных бюджетов субъектов Российской Федерации на социально-культурные мероприятия на душу населения, млн. руб / чел."
"10027";"32";"Скорректированные по индексу потребительских цен консолидированные расходы бюджетов субъектов РФ на социально-культурные мероприятия на душу населения, тыс. руб. / чел."
"10030";"33";"Скорректированные по индексу потребительских цен относительно 2009 г. консолидированные расходы бюджетов субъектов РФ на социально-культурные мероприятия на душу населения, тыс. руб. / чел, отн.2009"
"1001";"34";"Выпуск специалистов высшими учебными заведениями, тыс. чел."
"1005";"35";"Доля занятых в возрасте 20-29 лет в общем числе занятых"
"10032";"36";"Доля занятых в возрасте 30-39 лет в общем числе занятых"
"10033";"37";"Доля занятых в возрасте 20-39 лет в общем числе занятых"
"1007";"38";"Доля занятых с высшим образованием"
"10034";"39";"Доля выпускников ВУЗ-ов субъекта от выпускников по РФ, %"
"801";"40";"Среднегодовая численность занятых; тыс. чел."
"802";"41";"Численность работников органов исполнительной власти субъектов РФ и органов местного самоуправления; чел."
"10014";"42";"Численность работников органов местного самоуправления (на конец года); чел."
"10048";"43";"Численности работников территориальных органов федеральных органов исполнительной власти"
"10049";"44";"Расходы на общегосударственные вопросы, млн. руб."
"10036";"45";"Среднемесячная номинальная начисленная заработная плата работников организаций, руб."
"10037";"46";"Стоимость фиксированного набора потребительских товаров и услуг, руб."
"10038";"47";"Численность рабочей силы в возрасте 15-72 лет, тыс. чел."
"10043";"48";"Расходы региональных бюджетов общие, млн.руб."
"10040";"49";"Расходы региональных бюджетов по статье национальная экономика"
"10041";"50";"Задолженность физ. лиц по кредитам в номинальном выражении, млн. руб."
"10044";"51";"Задолженность физ. лиц по жилищным кредитам в номинальном выражении, млн. руб."
"10045";"52";"Задолженность физ. лиц по потребительским кредитам в номинальном выражении, млн. руб."
"10046";"53";"Задолженность по потребительским кредитам на одного занятого"
"401";"54";"Эффективная среднемесячная производительность труда"
"402";"55";"Номинальная среднемесячная производительность труда в руб./(мес. чел.)"
"403";"56";"Затраты на информационные и коммуникационные технологии (ИКТ), млн. руб"
"404";"57";"Инвестиции в основной капитал, млн. руб."
"901";"58";"Затраты на технологические инновации, млн. руб."
